,0
235,Surya shows his acting skill again in this movie. He holds this whole movie himself. GV Prakash roared as a lion in music.
236,"All you can relate to this movie. Despite knowing few predictable scenes, this movie is not a detective one to say it's predictable. It's a life story, you should travel and live with the character. Suriya and Sudha, such a great flown in the movie with beautiful naration. Go for it, it will not disappoint the viewers. May be it can make your eyes wet."
237,"Soorarai Pottru is very motivating as a film! Suriya played well in this movie. I would say this film is a comeback from Suriya after many years. My last loved Suriya movie before Soorarai Pottru was 24. I had tears watching this movie because it is so sad. All I want to say is that Suriya continues like that and gives us extraordinary films like Soorarai Pottru, Raththa Sarithiram, Singam etc ..."
238,Good story real life story a story about a real life name gopinath
239,"The movie concept was very different, such great movie. Acting was fantastic. Both actor and actress has lead roles. You should watch this movie in Telegram. Download it."
240,"A big come back from suriya after singam 2 with awesome acting to the peak. Excellent support performances by aparna, urvashi and other supporting characters. Outstanding cinematography and good screen play writing by sudha kongara. Finally, GV at his best with beautiful songs and background score to the core especially veyyon silli and kattu payale.
Overall it a must watch movie 👍👍👍👍"
241,"No movie in the world is perfect but some rare movie is nearly perfect,it's one of them."
242,"What a film, recent days fully inspired film I was seen. Suriya Sir acting is marvelous. His passion, ability, hardwork, confidence, innovative thinking and emotions superb. Aparna Balamurali garu acting is too natural as a village girl. When two egos are clasing each other is perfectly classifying by both hero n heroine characters. Sudha kongara garu direction is Highlighted. She can gave a great message to each audience whom watched this film. There is no difference in Rich-Poor, all are human being. All are having their dreams to fullfill in their lifetime. Suriya sir that airport scene really touched heart. Simply 2hrs time of Inspiration."
243,"Overall excellent performace
Proud of Indian cinema"
244,"Soorarai pottru...
After a long time got to watch such an outstanding film. Every aspect of the movie left me spellbound. Suriya Sivakumar sir, you played maara so effortlessly, it couldn't have gotten any better. Aparna Balamurali you made us proud with your exceptional performance. Special mention to #urvashi ma'am, you were grace personified.
Everything about this movie is worth acknowledging. Above all #SudhaKongaraPrasad ma'am you have created a masterpiece.
After watching it I really wished I could have experienced it in the theaters."
245,This movie is completely outstanding. It's very inspirational.
246,"Watched Soorarai Pottru, one of those movies that ignites fire in ur belly, shown how new Kids on the Block are treated, balancing personal n startup life. My first domestic flight was with Air Deccan to Delhi to meet President Kalam. #SooraraiPottru #SooraraiPottruOnPrime"
247,"One of the best movie in tamil industry,surya sir performance is wonderfull and heroyin aparna bala murali is also wonderfull best movie must watch"
248,Such a fabulous movie .I have never seen suriya action fantastic and Aprana balamurli hands off. Director sudha fantastic. Music gives magic to this movie thanks Gv prakash..
249,Super Film Suriya 🔥🔥🔥🔥🔥🔥the versatile actor aparna acting ozm film is very good nice story
250,Good movie. Inspirational.Recommended to watch.Good acting by everyone
251,What an inspiring movie...Surya... Versatile actor.. He was not acting... He just lived as Nedumaran Rajangam... Proud to be a suriya fan
252,"First of all ,Kudos to Sudha the Director for choosing Suriya for this role. Not many actors in this generation, can justify the intensity of the character like him. Also, Sudha has balanced the Male-Female relationship so fresh and looks very lovely on screen. Dream Wish is that every Man needs a sensible, bold, romantic Bommi in their life.
A big salute to Sudha for breaking the MYTH that MEN FEEL WEAK IF THEY CRY. On screen every tear Maara sheds looks so meaningful, natural and intense that, we too cry along with him Irrespective of gender.
The struggles which Maara faces can be identified in everyone's real life . Hence the victory for the story and ths screenplay... Supporting characters like Oorvasi, Kali Venkat, Karunas excite you with their perfect, flawless acting. GV's BGM are so into the heart that you don't realise there is a music running at the background. Camera work is top notch and so are the Dialogues ....
Expect another movie between the same combo. One of the very sensible team in Tamil Cinema currently !!!!"
253,Great story. Happy #amazonprime is able to deliver this movie to us. Great movie
254,"A great Tamil movie after a long time. Above all, it's very inspirational. Suriya is top notch."
255,Surya sir acting hats off🙌 direction awesome 🙏 motivation movie national award conform❤
256,Superb movie.should have released in theatre blockbuster film.
257,No words to describe. The movie is just perfect. It hits all the right notes.
258,"An Amazing come back from Suriya..
Super Screen play & Dialogue..."
259,"The director has done a brilliant job. Acting is fantastic (not just the main characters, every single actor involved).The Suriya we all love is back!!! Probably his best performance so far."
260,This movie need to watched by every filmmaker. Every budding filmaker should learn how to make a 1st class film with low budget from sudha kongara maam. This movie is suriya's career's best movie. Gv prakash music was really cool. Kaali venkat once again proved he is a best actor. Aparna acting and her own voice for madurai slang is good. Totally an unusual biopic.
261,"Being a north Indian, Pardon I wasnt aware of Suriya. But what a brilliant actor he is. Had to google him :) Loved the movie and the story about Air Deccan. I am aware it would be fictionalized quite a bit as it was supposed to be a commercial movie. But it did bring out the true essence of the struggle and the characters."
262,Gripping story with great performances. Every actor lived up to their character.
263,"About the film first of all what an ""outstanding comeback"" by suriya.The acting performance of nadippin nayakan suriya was absolutely brilliant and would be the best actor of the year so far and also the carrier best movie.Not only suriya the acting performance of other actors and actresses were really good.Brilliant direction and perfect execution of screenplay by sudha kongara as well as superb music by GVP. This is just an inspiration and motivation to all youngsters."
264,"Having wanted to read ""Simply Fly"" book, but could not, had been waiting for this movie to come on OTT and when it did, it lived upto the expectations and hype it created. Screenplay & Direction of the movie was too good. Acting of Suriya, Aparna, Urvasi, Karunas & Mohan Babu was too good. Lyrics by Snehan for one of the songs was very good and not to forget the background music by GV Prakash, it upped the tempo & conveyed emotions wherever required. It gives all the business acumen for every entrepreneur and it's a must watch for everyone to follow the dreams and how to succeed in spite of all odds. I would like to watch it one more time for the business lessons it teaches!!"
265,"This movie is best forever in surya anna career
In this all character are picked perfectly
After lockdown we see this film that gives happiness and goosebumps
Fantastic effect all characters
All actors in this film are lived in their given character
I think this movie receive many awards
Gv .Prakash anna music vera level
Director mam every scene yum shot yum parthu parthu edhurukanga.
Thanks all cast and crew for giving this such a beautiful film"
266,"This a world class film with an Indian touch (The songs and the mass dance steps)
Surya is extraordinary, Aparna is apt.
Production Values are decent.
Inspiring story with engaging Screenplay.
Songs are dull but background score is good.
Paresh Rawal's character is a little cliche."
267,This movie will be an motivational story for many youngsters. Surya's acting is excellent. Some unbelievable facts are there but that is fine for this kind of good product 👍🏼
268,A film tells the story about passion and dream surya delivers some astonishing performance he gives a life to that character. Sudha kongara she creates a world of aviation and makes them a successful one technical aspects are so good especially cinematography costumes makes that character real credits to costume designer overall a very good film
269,"The underdog story which will make you cry, laugh and make you fall in love with all the characters. The cinematography is top notch with some glitchy VFX , but taking the budget into consideration it's worth it. The screen play is engaging and one of the strengths of this movie. Not your commercial masala Indian movie!"
270,"One of the best films produced in 2020 and ever inTamil industry , and the best in surya career...surya acting in this movie is exceptional,surya is surya its absurd comparing him with anyone like kamal ,vikram... i am sure this movie will place him in the top list of best actors in India we have now..."
271,An inspiring movie which is released on the right time when India is going thru a journey of entrepreneurial transformation to offer low cost products & services across the globe. Story is narrated in a very interesting manner and a stellar performance from the entire crew. Kudos to the director for bringing life to a real life extraordinary story on reels.
272,Well done Suriya as usual .. great screenplay .. beautifully written and some really proud heart touching moments..
273,Great film one of failure story that became successful. Good direction!
274,"Every person who'll miss this movie will also be missing an magnificent experience which might occur rarely in a lifetime. Nothing more, nothing less"
275,"This is one of the best movies I've seen in a long time. A true story so powerfully told by Director Sudha and her super talented team with an amazing cast. Surya is a class actor and I've watched many stellar performances from him over the years. His role as Nedumaran ( Capt Gopinath) in this movie stands out as one his best, a role essayed almost flawlessly sans the cinematic overtones. Infact the entire cast is outstanding evoking all the right emotions all through the movie with virtually no drag, something that's hard to say about many movies. Kudos to entire team for taking on a potentially controversial theme and demonstrating the power of story telling through a great narrative and endearing screenplay.. That Air Deccan changed the world of aviation in India is well known but the struggles behind the idea of taking flying to the masses and the people who made it happen despite all odds is grippingly told in Soorarai Pottru and will be etched in memory of viewers forever. Wish it is dubbed in other languages Must watch.."
276,Excellent movie with great portrayal of the story and all the characters...
277,"A wonderfully directed movie, Suriya and the entire caste deliver a brilliant performance. This is a moving film that inspires."
278,"What a movie!! I lough, I felt happiness, I got tensed, I got pain, I cried and at the end I'm feeling wonderful. Excellent cinematography, perfect screenplay, superb editing, wonderfully written. It's an amazing movie in this year."
279,"The movie is based on Capt. Gopinath and his business venture Deccan Airways (low cost airline). The screenplay is so tight and great acting from everyone. There is not a single dull moment in the film. There is no fake fight scenes or forced romance dialogues. Beautifully directed masterpiece, must watch!"
280,There are only few films which stays with you for a long time and creates a impact after completed watching and this is definitely that kind of film. I prefer watching this movie in bigscreen. Surya sir acting is terrific . Obviously the actors talent comes out with the story and director. Aparna Balamurali acting is stunning.
281,An inspirational story. Acting by lead actors is at top notch. Gripping screenplay makes you watch it till the end.
282,"Feel good
Inspirational
Dramatically powered
Think big.. big until you get big.
Good direction.
Good acts by the protagonists (particularly Aparna)
Brings the cinematic experience well..."
283,The Screen Play Can Make You Gripped towards the Movie!!
284,"Fantastic acting from every one,
The content is very original.
Extra added flavours like apj"
285,"I am not much fan of south indian, never saw them tbh. But its for the fact that the way south Indian movies are made no one can leave the movie by getting offended on any scene. They are true to the audience, complete family movies with rich touch of religions and traditions.
Starring suriya, soorarai pottru is a genius masterpiece. A rag to riches drama had every emotion blended so beautifully that anyone can be mesmerized in movie even after 20 mins of it.
150 min long film are seen as lengthy now a days but if make correctly it gives a gem like this one.Every actor did a splendid job, specially suriya. His bonding with his father is shown se beautiful. The way movie is directed is so good, songs are blended very beautifully within the film and even being a non tamilian, i can feel the importance of those songs on that occasion only with the way those are created. This movie is pure magic.Honestly, i have never seen much from tamil industry, might be some movies which are greater than this but for now it is definitely my favorite tamilian movie ever.
Perfect Diwali gift from the south"
286,"Surya is a outstanding actor.His performance loved to watch.Iam enjoy the movie and all crew was awesome.Aparna played fantastic Rolle with Surya.Their romantically acting loves more.I was cryed,laugh and experience this movie."
287,"Good Direction
Fabulous Acting
Good Cinematography"
288,"Nice acting, excellent crew, brilliant music.
Expecting more form a tean"
289,"Must watch movie. What an ultimate acting By Suriya, Paresh Rawal and Mohan babu... What a performance by.. Aparna Balamurali 10/10 👌🏻🔥"
290,"Good,every department of the movie is top notch,hajososkwjqiqosnhsowiwksosonwiwiwhwjiwoejwjwid8d"
291,As a movie the crew has done a fantastic work. But failed to show the reality of this great man Captain Gopinath with the same movie cliches and mass dialogues in required places.You all will understand what i meant to say if you will read Captain Gopinath's biography: Simply Fly
292,The one and only thing I felt little bad was the graphics of plane crashes
293,Very good movie a biopic very well made Surya was good outstanding performance by Balamurli.
294,What a movie. This is not a flim it is the aviation. Must watch flim in 2020 .surya Anna comeback is very satisfied. While seeing this movie me and my family got tear. Surya nailed it .he deserves national award for his performance. Please watch with family. It will be a good experience.
295,"Success is not an easy ride...This film is proof for that.It shares a journey with the audience how a small town boy who didn't have any railway platform in his village...owns a Aviation Company in INDIA.This film features the journey of an Entrepreneur who not only dream about his success but also the dream of a Father who wants his son to fulfill the dream of Deficient people who want to abroad on an Airplane.It shares an amazing ride that how many obstacles an entrepreneur has to face .An outstanding Direction,Acting,Story,Music,Cinematography by the team that holds audience tight to their seat.All the Actors were so true to their characters which enabled you to watch an amazing Dramatic Emotional Rollercoaster.This is a must watch film as it is Inspiring and Outstanding reality check for the people who want to start their StartUp business."
296,Love this movie.. carried emotions all over the film.. All characters are designed superbly..Romantic scenes are good.
297,"Success is not an easy ride...This movie is the proof for that thing.The journey of an Entrepreneur from small town.Despites barrier by every possible way..how a man fulfills his father dream along with every deficient person of his community to fly in the sky,to fly in Aeroplane.An outstanding Direction, Acting,Story,Music,Cinematography by the team holds the Audiences tight in their seat for an Amazing Dramatic Emotional Rollercoaster.Everyone was so true to their character.Definitely a must was movie for the Entrepreneurs."
298,This movie shows how a brilliant script and equally brilliant performances can enhance a movie to a different level . Surya delivered one of the best performances of his career . Paresh Rawal as a shrewd businessman was amazing. Aparna balamurali was good in a limited role. A must watch
299,A tremendous movie in Suriya's carrier. He such a raw material for this character.. Well played screenplay and dialogues.. Bgm is a biggest support for this movie. GV once again proved his talent.....
300,"Extraordinary performance by everyone, specially Suriya. The story motivates you throughout the movie."
301,Awesome Movie and Hero Acting.Best in the world.Must watch Inspirational movie in the world
302,Great movie by suda kongara. No words to praise the acting of Surya
303,"In my life time i have never watched a movie like this. Such a Motivating Story which makes you entertained with such a amazing concept. Entertainment value next level, wish I can say even I haven't watched a movie like this in Hollywood or any other industries. If someone say this movie doesn't have a good story, then probably that person doesn't know what is a epic story. Music in this movie does its best with unbeatable sounds that makes you amaze. In whole movie I didn't even see a single scene which doesn't have any logic. This should hit The Indian Best film ever. Such a superb emotional beats that even made me cry. Suriya and all other cast had made their best action to make this film best. Beginning, ending, pacing, dialogue, editing, cinematography, camera work, costume design etc. had done their best to make this movie ""Nothing better than this Soorarai Pottru"
304,"Powerful movie with emotions and ambition..
Suriya sir uff its acting is wow😇 aparna balamurali super.. almost all characters are superb.. must watch the movie...."
305,"Suriya Annan acting 👌👌🙏
What a performance 😱😱
Anna...👌👌"
306,"Movie is amazing and all the characters are just brilliant.Acting of suriya and urvashi is the main highlighs of the movie,As a suriya fan I am fully satisfied . The film made me cry at several scenes .
BEST MOVIE OF 2020 ....... My Rating 10\10..."
307,"Such a perfect combo of actors
..very appericateable dialogue ....new printed....marked
Acting..."
308,Great movie superb no negative in this movie sudha made a great job every actors are well performed urvasi again prove natural acting of her in this and suriya wow he is a complete actorbut in this movie he is lived as maaran amazing performer
309,Especially the scene where he begs for money. I was in tears 😭
310,This film is actually a mixture of family values and motivation. From the first scene till the last its a treat.
311,One and only good thing about 2020.... Mass movie.. totally inspirational...
312,"Vera maari!!! Vera Maarii!!!
Good acting
Good emotional
Good story
Good line
Good actor"
313,"Inspiration, mass, class what else package. 💥💯. World class film. We must want to support this kind of film."
314,"Direction, Casting and Music direction elevated the film to next level...Sudha kongara direction makes the film perfect Mass.😍😘. Inspiration not just a word, it shows...Suriya and other actor/actress praising 👏👏👏"
315,"Suriya's natural versatile acting went acknowledged for 5 to 6 years due to poor scripts but this movie made a nose cut for all the haters .
Cult background score 🎧🎧💥
Good cast
Bommi character was wonderful with realistic contour
A scene were Suriya sir has to cry for father's death he just nailed it along with the mother character by Urvashi
And the begging scene was also perfect. He nailed it 👌💥
To be frank, it is not a biopic movie but inspired from real life incidents presented in a perfect way in the movie 👌👌Suriya is going to rock again with blockbusters 💥💥"
316,"Amazing acting and wonderful inspiration movie, its an evolution of indian aviation. Thanks alot to sudha konagara to give an amazing heart touching movie. May rating for this movie is 10/10"
317,"One of them best movie in recent times, excellent acting. Awesome screenplay"
318,It left me dumbstruck. Wonderful movie. Superb planning and beautiful execution from Sudha ma'am and team. Strong acting from Surya. He handled all those intense scenarios with utmost maturity. The lady characters Aparna Balamurali and Urvashi both were outstanding. Superb movie and haven't seen something like this for so long.
319,Inspiring story. The best movie I watched in my life. Sudha Kongara made a brilliant outcome and what a stunning act from Suriya. Everyone in this movie made good job 👌. Shout out to the team.
320,"Suriya was extra super ordinary
Aparna was a pleasure to eyes and heart
Sudha was fire
Gv was blasting
Niketh was magic
Sathish suriya was rockingHats off to Production"
321,Very well executed flim in recent times. Each every man and woman who have a big dreams should watch this flim.
322,"Movie is supper and suriya sir is amazing actor all charactor is gud effort in this movie
The Really nice movie
2020 best movie and this lot of insparing momentMy Raiting Is 10/10 😍"
323,I really liked the story and character in which Suriya acted. One of the best output from Suriya. I am damn sure vintage Suriya is back again with a blockbuster. Major missing is that I couldn't watch this movie in theatre. Mohan Babu sir scenes were awsome
324,"Wonderful film. Missed theatre experience. If there is a re release , I will surely grab the tickets"
325,One of the best movie in 2020 and for suriya in his career. Hats off to GVP for the wonderful BGM and melodious songs. Sudha Kongara has done a great job after Irrudhi Sutra. Overall it's a must watch for all.
326,This movie doesn't have a massive twist or amazing stunts or something but in this movie actor surya had given his best performance. He is a real performer. There is a scene in this movie that which surya had lived in it not acted. Such a performer.
327,"Even if it is taken during this pandemic, the crew presented it in such a way that they neglected all their struggle behind those shots.The mind blowing appearance of Surya made it more enthusiastic. Overall, I felt it as a theatrical magic."
328,Such an inspiring story to be done in such an extraordinary way. Nice movie.
329,"After a long time, we watching surya's original acting. He gave Stunning and extra ordinary performance. We must talk about direction and screenplay of the movie. She (director) did everything perfectly. Nothing less and nothing more. Everything was correct. It's an inspirational story for who struggle to win and achieve their dreams. So it's a must watch."
330,Outstanding performance by surya... stunning come back....
331,What a movie it is...really inspirational....got goosebumps while watching....surya is back
332,"A fictionalized strory from a Book Named ' Simple Fly ' But the Making of Movie and the Acting of actor in lead Role Surya Sivakumar Was Nothig to say . Superb , and the supporting actors Aparna balamurali Acted As Bommi,Maaras Wife was made her Carrier Best Performance , And Maaras Mother and Father .Uruvashi was a well recognized actress in Malayalam industry and she is well played in this Movie Too.
Specilay the making of movie and the background score of the movie was inspiring .
When a movie was made by real incident it has lot of difficulties but the director sudha and the Script Writer made that in easy.
There is no fault too point out it was a pure gem.
But the only concern was this movie deserves its theatre show. but due to the Corona Pandemic therr is no possibilities in showing Soorarai Pottru In theaters
Finaly the Movie was a Must Watch One, if you are Searching Movies To watch relesed after 2019."
333,"A fictionalized strory from a Book Named ' Simple Fly ' But the Making of Movie and the Acting of actor in lead Role Surya Sivakumar Was Nothig to say . Superb , and the supporting actors Aparna balamurali Acted As Bommi,Maaras Wife was made her Carrier Best Performance , And Maaras Mother and Father .Uruvashi was a well recognized actress in Malayalam industry and she is well played in this Movie Too.
Specilay the making of movie and the background score of the movie was inspiring .
When a movie was made by real incident it has lot of difficulties but the director sudha and the Script Writer made that in easy.
There is no fault too point out it was a pure gem.
But the only concern was this movie deserves its theatre show. but due to the Corona Pandemic therr is no possibilities in showing Soorarai Pottru In theaters
Finaly the Movie was a Must Watch One, if you are Searching Movies To watch relesed after 2019."
334,"Best story, action. Surprise events. Biopic of a real hero, real life story. We need such movies in industry."
335,"One of the best Indian movies I've ever watched
career best perfo
suriya just gone awesome manhhh"
336,"It is the fantastic film by sudha madam , all the scenes in this film are really great great music and mainly the performance of surya sir .It is a great come back for surya sir with an awesome film ."
337,There is always lag in biopic movies but this is a different movie it has no lag and performance of actor suriya is marvellous
338,"Must watch
feel good movie
Surya acting vera level.
🔥🔥😍😘"
339,"This is the best movie i have seen ever !!!!!!
Astonishing acting
Powerful character"
340,Truly inspiring movie... What an act suriya sir.....
341,Every scenes in this movie was goosebumps.Suriya did his performance really awesome.Highly recommended movie
342,Great acting....stunning frames....if i have to sum up my experience with the movie then it's nothing short of exceptional.....love u Sudha love u Suriya for this awesome masterpiece
343,This is movie is with a soul..one of the best release from tamil..suriya is top top notch..whole cast and crew is excellent..
344,Superb acting by surya terrific movies... fantastic story
345,"Suriya deserves a national award, especially for that airport scene. GV needs to be tested against drugs for his music score. One hell of a music. Director Sudha kongara, one of a kind, delivered a masterpiece of biopics. Not even one negative thing I can point out. 🙏"
346,"Never in my life a movie made me this much involved emotionally where I was teary eyed almost for every scene. I wonder what the Air Deccan Captain Gopinath had felt after watching this movie adaption of his 'Simply Fly'. The movie is perfectly scripted, flawless and it has achieved it's target of making your dreams come true and your economical status nor your social status does not determine your fate. The story of how the first and the largest low cost aviation space was created is a must watch. Suriya Sivakumar, words cannot express how much I love you for choosing to do this movie and the director Sudha Kongra. We need more movies like this. I am irrevocably in love with this movie."
347,"Superb performance
Nice direction
Suriya annan performance level 🔥"
348,"THE AMAZING MOVIE 💯
Perfect story
perfect acting of SURYA ANNAN"
349,Suriya anna come back movie i love this movie movie i love you anna
350,"This is the best movie from the India this year
There no negative for this film Surya and urvashi acting are superb A must watch"
351,One of best film in tamil industry.All of the team work in this movie is excellent. And the actor surya performance is very high level
352,"MUst watchable movieee for All Suriya Performance Lit
Very very good And He lived the character Hats off too sudhaa kongara madam Tankz for like this movie We some like this"
353,Surya Acting and all other acting are brilliant and awesome. Cheers to Director the way they all narrated and executed it.
354,Actor surya doesn't acting he just living to the character mara uff 💥😍
355,"Starting with Surya every single character lived their life as characters. You can't see the actors any where. It's like you did a candid shot of a persons life.
Sudha the director has added one more golden feather in her hat.
Can't say much than everyone to just sit back and experience the life of Maaraa."
356,Extraordinary performance by suriya sir And direction was also extraordinary and the bgm score also
357,"My dream when i was young I always used to say i wanna be a pilot to my parents; life sucks it's not happened. My childhood to still now if any aeroplane cross my location I'm gonna mad and watch the plane if anything serious going on I don't care. now I travelled more than 5 flights, still now I'm not changed. That much I love aeroplanes, so this movie is so connected to me. Suriya anna 100% dedication."
358,Without a doubt it's the best movie ofnthe year and it deserves National Award 🔥😍
359,Surya Anna mass performance Soorarai potru motivate the all people
360,"Suriya is simply lived in that character as #Maara and made us cry many a times, what an a outstanding performance. We are seeing Maara in us many times. One of the best film in hisEvery man's success, there is women behind - we can see that again in heroine character. Unbelievable it's her first film in Tamil. We all need like that pontati (many of us have 😉)Oorvasi mam - emotional scenes as a Amma your performance in high peak - deserve for the National award.GV prakas music is the biggest backbone of this movie, brilliant work.A monstrous music by @gvprakash , the songs and the BGM 💥 are elevating the scenes to next levelWhat a screenplay and writing, after Iruthi Suttu #SudhaKongara wins again our hearts. May of the raw scenes and #Veyian Soolli song reminding that.None of the movie recently received this much positive reviews from all class of audiences.Kudos to the entire team."
361,Movie was exllent performance in surya sir ..... international award get this film
362,Fabulous Movie Everyone Must and Should Watch'🔥🔥🔥🔥
363,"Best movie i have ever seen.
In thia covid 19 we were eagerly waiting for this type of movie."
364,His effort make him deserve a national award for sure
365,Superb movie ever must watch..surya💚The story keeps us most entertained and sad..urvashi with her superb acting enter another level..
366,Movie was awesome and every actor is justified their role and Suriya sir acting is next level and his acted with his eyes .The production values also top notch. Definitely worthy
367,Really good acting and direction.Everyone must watch this film at least once in their lifetime.
368,Strictly strong acting were does by Suriya. Especially that airport scenes. Don't have a mass entry or intro scenes but have goosebumps in several areas. And one of the best best career movie is this.
369,"What else the Director Can Give than this ? The movie is full of emotions, Pain, love, Win, Lose ! This film totally Deserves a theatrical release ! No one can act this film except the name "" SURIYA SIVAKUMAR "" ! Must watch ! Don't waste the time, Go and Catch the Flight!"
370,Its is like about the flight of rs 1 for the passengers for that it is a good story
371,"During his struggle with getting the airplanes to the sky, Nedumaaran Rajangam alias Maara(Suriya Sivakumar) takes inspiration from his wife Bommi (Aparna Balamurali) which goes something like this - ""One need lesser fuel to fly an airplane at a relatively lower altitude"". The movie, to a large extent, felt the same for me; just enough content to be a ""commercial"" success, while it could've reached the skies!"
372,What a fantabulous film. A must watch movie. Surya's performance is similar to being awestruck. Great work by the team. Kudoos!!
373,"It's been a long to watch a film like this in the Kollywood industry.
just awesome 🔥
Suriya is lived as maara.
everything in the film is perfect."
374,What a movie. Happy to have watched a tamil movie like this after very long. Worth the watch.
375,"Amazing work king Suriya happy to see you again
You are the best"
376,Very inspirational movie.The best in Surya's career. I wish it released in theaters.
377,This is hands down one of the best tamil movies I have ever watched.
378,The movie is a comeback to Suriya and he came back as a king. Must watch.
379,"Very inspiring story
Suriya acting was awesome
GV music and songs was too good
Sudha kongara's superb story line
All side actors acted well
Overall it was the best movie for suriya in recent years"
380,What a great performance and acting ! Well done Mr Surya and all actors director sudha! Love you guys
381,Hats off to the director for the great screen play. The movie run time was 150 mins felt like 1 hour. Keep up the good work. Great come back for Surya. I wish he will select good story line like this for his upcoming movies as well.
382,Surya at his Best. Kudos to the movie crew for their efforts. Success after struggles by Captain Gopinath. A very inspirational movie.
383,"Inspiration movie😱😱😱😱💟💟💟💟💟
Very very most watched movie
2020 best movie of the year"
384,"Evidey indian must watch this movie, Acting of Surya and Aparna balamurali and Urvashi is awesome. Direction is perfect. It is an inspiration movie and also an entertainment movie."
385,"It's Epic film 👍, vintage Surya is back.
It's one of the must watch movie, We got a inspirational movie from soorarai potru team."
386,"Just watched... an awsome film by sudha mam...and suriya ,his acting was absolutely awsome...making,direction,songs everything was a perfect theme 🔥"
387,"Surya Anna lived a maara, only focus on surya Anna performance, cried after the movie.
Movie that can't be expressed in words.
National award should be must for the movie."
388,"Class acting, neat screenplay, extraordinary music score"
389,"Words are powerfull
Acting is much more powerful
A middle class man fly in air
A journey of sucess with lots of pain
A life partner to withstand in every win and loss
Believe in you till u achive"
390,One of the best movie that acted by surya sir.👏🔥
391,Nice movie must watch. Good direction and everything was good in this film.
392,If you like motivational movies. Then this is it. If you have liked movies like The Prsuit Of Happiness you would love it to a whole different level. It will make you cry like a baby but those tears will give you the strength to launch yourself as a rocket in your life to go forward.
393,"Tremendous story plot and screen play by Sudha, Suriya's performance has propelled the entire movie to what it deserves.Aparna, just nailed her role with her wild and raw emotions. Each and every supporting actors added essence to the master piece. Will regret, if u miss this story of a common man."
394,"Suriya's best acted movie, best motivational movie ever in tamil insustry, no heroism, no action and no over act fight just given only a achievement motivation Movie, Suriya's proved again acting skill....
Off screen main heros: #Sudha Kogara, Music G.V.Prakash Mass BGM... I like movie color... Must Watchable movie."
395,"This one of the best film in Tamil cinema industry..there are multiple reasons to watch this film,such as Surya's performance, direction,music,as well as the adaptation of the true incident. Although they fictionalized some events in the movie,it actually works better."
396,"Soorarai pottru, this is a movie I wanted watch again and again.. Suriya he did not act, but LIVED as Maara. His eyes spoke a lot in this movie,sorry life experience.. Each and every scene gave goosebumps.. 🔥 Hats off to you Sudha Ma'am, you proved to be a marvelous Captain.. What a writing & direction.. Aparna splendid performance, Dialogues another hero, camerawork, editing, artworks on fire omg🔥 the supporting cast urvashi Ma'm, KK, vivek prasanna, karunas, kali venkat, vinodhini and all the characters were perfect for their role.. Special mention to paresh sir and Mohan babu sir, what a screen presence.. Production team kudos to you.. All the departments have given their heart to work.. Stunts, dance choreography superb.. Gv prakash music, bgm lit🔥🔥 missed this movie in theaters but gonna watch repeatedly on prime.. Finally this team proved story can be hero..Suriya sir you are back with the bang..Congratulations and thank you for giving this gem.. Must watch.don't miss it."
397,Suriya Nailed MAARA Role .... songs were the Backbone of the Film ... Must watch .... A perfect Diwali Release we can enjoy watching in our Home with Less Cost !!!!!!Diwali winner
398,"A brilliant script writing! What an acting by Suriya Sivakumar.
This movie will hit you soo hard! #SooraraiPottru is an inspiration ✌ A cinematic masterpiece!"
399,Hats off to Surya and the entire team of Soorarai Pottru 👏👏🔥🔥
400,"Every Indian should watch, it's a good movie. Aparna's acting is superb"
401,"Excellent comeback for actor Suriya And mind blowing performance. Sudha kongara once again proved her talent. Aparna, urvashi 👏👏👏"
402,"The movie is really entertaining and motivating.
I love it"
403,"Awesome Screenplay, Story, Cinematography, GV Music, All Characters Acted Well Especially Suriya Best movie of his lifetime,
Really The Movie Missed by theatres
Watch it with your Family"
404,Wonderful movie An unstoppable heart towards success
405,One of the best movie in South Indian film industry. World class film making don't miss it.
406,"One of the fantabulous movie i ever seen.
Best script and screenplay. Acting was just awesome. Very strong story by sudha kongra mam."
407,"Nothing more or less to say, we really missed it on theaters. The rage, fire - Nedumaran just took the show..."
408,"This movie is not just only a biopic, but this has to be one of the best inspirational movie ever made in India. A must watch to all of them, everyone can watch it. If you need a motivation for your life, watch this movie it gives you what requires.
Suriya is the most underrated actor in India. He did what he does. He lived the character of Capt.Gopinath not acted. No other words"
409,Superb movie... It is inspiration for who is dreaming
410,"Nothing to say. Cried when Suriya cried, laughed when he laughed... A tight blow to the so called ""BOLLYWOOD"" from our South Indians... MADLY in LOVE with the film and SURIYA..."
411,What a marvelous depiction 👏👏... Surya sir is a maestro of acting
412,"My First review in Imdb. Hats off to the direction and performance by Suriya, Urvashi and Aparna. This will somehow uplift the dead mind because of this Pandemic."
