,0
32,"An inspiring story that revolutionized the aviation industry, lands as a cleverly packaged dramatic flick.Absolutely in awe with a never-seen-before #Suriya, truly a captivating performance by him and even the minute of expressions strike hard. And, his character 'Nedumaaran Rajangam' is full of 🔥. #AparnaBalamurali is amusing in a terrifically-written character. The chemistry between the lead is something to talk about, there are multiple sequences between their sparkling eyes that creates magic. All the supporting artists have a purpose and have done complete justice to their roles.Easily brings in the emotional attachment from the very beginning, gets us highly invested and feel for the characters. Tears and goosebumps guaranteed. Whatever mood the scenes carry gets transformed to the viewers too, which is a crucial part of the filmmaking art, loud applause to director #SudhaKongara and team. Cinematic liberty is utilized to the perfect level, knowing the limit to which audience will be okay to believe, placing an important part of the flashback in the President-Meeting scene is a perfect example of that. The film never loses its focus from the story, on-point. Intensity-level of certain situations is sure to increase our pulse rate. There's so much that is going on-screen and the beauty is it's so clearly conveyed and the flow is seamless. Dialogues add so much value to the subject and they are very naturally placed, word choices and the slang too. Amidst the bunch of memorable scenes, business meet with villain in his flight, Udipi Hotel sequence, All India Radio interview and the climax stand out.#GVPrakash's musical treatment is rich. The songs have impressed already, visually-good too. Except for a couple of minor facts that the opening number could have choreographed in a better manner and some songs have been cut-shortened in the film. The camera work is outstanding. Set work, costumes and make-up are apt for the timeline of the setting. Some tiny jump cuts looked odd, otherwise, the film has been neatly-edited. Feels slightly stretched towards the end. Also, VFX could have been better in the flight-in-the-air shots.
Direct #OTT release,
now streaming on #AmazonPrimeVideo."
33,"Really there many goosebumps moments. And the director should be appreciated whole heartedly. Suriya, you deserve this and it deserves you Stellar performance!!!!!!!!"
34,It's one of the best movies for Suriya. GVM's songs and background score is out of the world. All the characters were given importance. Sudha mongara brings the best from every actor.. overall semma movie..
35,"Great direction,bgm,acting etc.Truly this movie is treat not just for surya fans but for those who love cinema and content.Surya is enough to make u glued to screen.Vera level performance.And by the way I am a North Indian who believes to praise good cinema"
36,"It is a must watchable movie, awesome story, challenging attempt successfully done. Social model kind of story."
37,Suriya comeback is vintage level sutha career best ever movie totally movie is remarkable of tamil cinema
38,The best of surya in his cinema history we can feel the emotion woth him and acting wise awesome
39,"Great movie , with good things 😇, best movie . Good job by soorarai potru team . All the best it's 10/10 in my view"
40,"He is back with an amazing one. One of his bests too. Oscar level acting. Good background scores and an amazing plot. Nobody will hate this movie, I bet. Everybody performed well. People with small roles will also be remembered. Finally Happy Diwali folks*"
41,"Awesome movie , Surya Anna and all the co- actors nailed it . One of the best movie in Surya Anna's career . Strong comeback by Surya Annan . Must watch movie and don't miss it"
42,"A must watch movie of suriya, acting level of suriya sir is awesome,"
43,Worth watching it's is a super movie with wonderful acting
44,"Super movie in surya carer acting top
sudha kongara hats offf"
45,"What else required
A perfect 10 star rated film
Well done a standing applause to team
Now Deccan air novel thought will reach millions of people and yet people will look as first option to travel from once place to other
Including me tq sudha mam ,suriya sir"
46,"Firstly positives. 1. Surya 2. Script by Sudha 3. Narration 4. Music 5. Strong connection with emotion
Negatives 1. at places some parts of the movie was slow, 2. Some songs are not enough to hum. Nothing more to say.
See I am searching for the negatives. This took me about 5 min to get those 2 framed up negatives. I swear. Then why 9 stars... the remaining one is for not releasing in theatres."
47,"Excellent and well made movie. Powerful performance, top notch camera, Art work ( Period properties) , Background Score and wonderful Narration . Wish watched in Theatres"
48,"One o the finest films, seen; my lifetime brilliant screenplay fantastic acting excellent background score good camera work."
49,Soorarai Pottru is well made movie with measured commercial elements and decent background score.Screen play and acting rocked hand in hand is the primary success for this inspiring tale. It is not easy to make a movie of this kind with minimum budget for OTT platform and credits goes to the director Sudha Kongara for perfect execution and great team workShould had been a blockbuster and even bigger reach to all class people if this movie had got released in theaters.
50,"Very nice movie, super acting very we'll acted by suriya and directed by sudha madam"
51,"A must watch!!
surya is back with a boom!all the core scenes are acted to perfection and the storyline is awesome,overall a great movie and a good comeback frm surya"
52,"#SooraraiPottru 🔥:Badly missing in theatre,Absolute gold👌🏼Blockbuster material. This is #Surya's _BEST film,the actor delivers a tour-de-force performance taking it out of his skins. No mass entry, no build up scenes yet the lead character gave so much goosebumps. #Sudha take a bow! As usual nailed every bit of the character! Sharp dialogues, powerful emotions,unique staging. An emphatic victory all round,completely enjoyed it! Must watch, Terrific👌🏼👍🏼👏🏼"
53,"Awesome Performance SuriyaAnnna
Very very inspiring Movie
Sudha mam screen present vera level
GvP BGM and Songs lovely
Suriya anna carrier one of the best film
Punching a new mile stone"
54,"No words inspirational movie of the decade. Surya is unbelievable in this movie what an actor he is, made me cry in many scenes .Both female leads were exceptional aparnas chemistry with Surya was so good and the legendary actress urvashi steals the show in many scenes .Just watch this gem you won't regret ."
55,"Hats off to Sudha Kongara, Niketh Bommireddy and Suriya for their outstanding contribution to their positions in the Film"
56,One of the best inspirational movie in indian cinemas what a wonderful movie. Awesome acting by Surya. The scene where surya's Father dies and he begs for money to reach his father this scene will make tears in your eyes for sure. Really heartoching movie.
57,"What a acting of Surya , loved the film the best . Loved the story , screen play and direction
Awesome Surya in different variations and the body fit is mind blowing , nice movie"
58,The best movie of the year. What a fantastic achievement from the team. Surya is phenomenal super actor. Kudos team!
59,An outstanding performance by My brother!! Very well etched characters and all played their roles so well. Moved and very motivating. Hats off to director Sudha Mam & her entire team for the excellent execution! Congratulations and keep flying high.
60,I request everyone to watch it in prime because EVERY VIEW COUNTS!
61,One word. Amazing. Suriya Hats off. Loved each and every moment.Kudos to the director
62,"This is the movie which elevates a real hero
Sudha kongara direction was excellent in this movie
The actors in this movie is excellent and this is their best work in their carrier"
63,Sudha has given a simple down to the earth movie without any exaggerations. The performance of each and every major character is brilliant. Finally someone gave different acting opportunities to Suriya. Suriya's Maara makes us cry and smile along with him. But it is Aparna and Oorvasi who steal the show in many places. Strong women characters from a woman director. Kudos to that. Sudha's brilliant filmmaking downplays every big moment in the film using subtle references and good acting instead of mass masala style reveals.
64,"Suriya is back . Udipi hotel scene , airport ticket scene extrondinary"
65,After lockdown watched superb movie and one of the best motivational movie
66,"Suriya is back with a masterpiece, well acted. I can't believe that this was the first film directed by Sudha Kongara. Super direction. Some scenes made me cry harder. Please watch the great work 🔥🔥"
67,"Hats of you sudha mam
Uruvashi
Aparna
SuRya Anna Acting level 💯💯
#sooraraipottru
Best of the top 👌"
68,Outstanding movie 👌..very good inspired movie I assume this is best movie in 2020 in tamil and what a comeback from surya sir. All actors are very good acting also direction is well superbe.. and cinematography and bgm outstanding thanks to gv Prakash. This movie surya sir performance deserve many many awards.i felt sad because this movie did not release in theatre.thanks to sudhakongara for this outstanding movie..
69,"Amazing film ,very nice,inspiring,each and every one in this movie had done thier maxi so it is a must watch film.really don't miss it then u'lll worry"
70,"Suriya's performance at the peak level.
He is not acting in this movie he lived as maara.
100 expressions in a minute, what an actor he is.A come back blockbuster movie for suriya.
Thank sudha kongara to make this happen.
Pround moment for Indian cinema."
71,Mind blowing movie ...this is most greatest movie of all times..I just loved the way of story telling and cinematography.director of the movie has done a great job..All d actors done a great job...I personally recommend everyone to watch this masterpiece..
72,Excellent performance by Surya! Story & Screenplay is good enough to keep the audience engaging. Inspiring movie..
73,"A must watchable movie...Amazing acting by Suriya Sir! All actors, especially Aparna Balamurali and Urvashi mam must need appreciation for their outstanding performance..Musics & bgm is also outstanding..Well screenplay, well making.. etc..Nothing negatives to say! Above all, thanks a lot for director Sudha mam to bring back our vintage Suriya!❤❤❤"
74,"Yes an Extraordinary Movie. This movie is a cult masterpiece and each and everyone's performance in this Movie is really natural and 🔥🔥🔥. And Suriya sir acting level is top notch. We can see some changes in his acting so that made him to look like real and natural. Thanks to Sudha Kongara for a cult masterpiece. And GV Prakash, nailed with his Background Score truly a world class bgm. Already the songs in this film are a chartbusters. Aparna Balamurali, at initially I had a question How she'll do this roll. But after watching this film... She really nailed it......"
75,"What an actor is Suriya, he just nailed each and every scene, he is eligible to get National award this year. Actress Aparna, Urvashi, Karunas all of them were perfectly balanced. Sudha kongara finest female director in India. Music elevates each and every scene. An awesome movies must watchable and worthy inspirational emotional film."
76,"Soorari Pottru (Praise the Brave ), a story inspired by true events which made common man fly. A very very very long time, Suriya gives a carrier best, I don't know if its true or not, I read somewhere that this was Sudha's dream project, I bet it was, the movie was shot in perfection, no character in the movie was a waste, everyone and everything in the movie has a life, especially the planes, This is a movie that inspires you to fight for your dream."
77,Suriya is back with bang. Great direction by Sudha kangara. Suriya acted really well in this film.Especially screenplay is very good and Bgm gives goo sebumps sebumps
78,This is the best movie for Suriya. The plot revolves around how flying was made possible for everyone in India at a low cost. Suriya's performance is very good and emotes well in various scenes. This movie is a must-see for all Indians who are enjoying their air travel at a nominal cost so that they can appreciate the hardships faced in bringing this luxury and benefit to everyone enjoying it now
79,"Must watch film,nice performance by all characters espicially Suriya,acting beast for sure"
80,"This movie gives a great experience. It's really a treat to watch.
All actors did a great job .Most scenes are just outstanding!! In short it's the comeback of a real actor. Script and direction is superb!
Must watch!!"
81,"A must watch film.never miss this film
legend acting from surya"
82,"Suriya nearly nailed it ....amazing acting and the screenplay are extraordinary , a another blockbuster hit for sudha kongra"
83,"Sudha's hardwork , Suriya's acting wins hearts. Every character In this film is soul touching.A biopic is done with great picturisation.Main thing which boost up the film is the dialogues(Tamil).Every minute in this film is very intense.As a fan theatrical response will be missed."
84,"A National Award deserving from SuriyaAbsolutely Brilliant Perfomance from him..His name is
SuriyaSooraraiPottru"
85,One of the finest movies of Suriya... Details in every scene and acting is Epic... Best movie of 2020 and among all the movie of Suriya... Must watch
86,After a long time watching a meaningful good movie.
87,"Very good movie in 2020, suriya sir is a such a socialist to do many things to students"
88,Wonderful movie with a great story line.. the movie is more than expectations.. must watch movie.. maaraaaaaa ne jayichite... 😍😍
89,Good direction Sudha K and best bgm GV prakash ......Surya and Aparna a good couple in the film... Excellent. Superb. Acting is perfect. GOOD COME BACK BY SURIYA SIR. We recommend to watch this soon. Songs are great. What a inspiring movie that was....
90,Inspirational and fantastic movie. Surya has carried it on his shoulder from start to end.
91,Best Movie in the World💯💯💯👍👍👍💪🏽 One of the best movie💯suriya Acting vera leaval❤one of the best movie
92,"I seriously loved the movie , i enjoyed it and after many days i got something new to watch and enjoy its very new and fresh and there is need not talk about acting of my hero SURYA no doubt surya nailed it in every inch of the movie he completely involved in the character ...
the movie is gonna be a best among one
and i thank every single person of this movie and part of the movie you all made it happen and it happened
Thank you all for making his Entertainment more to see like this"
93,"Very good cast, performance and conflicts.
Suriya at his best.
Very strong Female lead.
Good BGM"
94,"Surya just rocks the show,screen play was excellent, characters were well written.vijay baillya role was surprising"
95,Well made with right drama and reality and of course cinematic.
96,"Such a phenomenal movie by SUDHA KONGARA. Didn't expect this much. Lead role MAARAN perfectly portrayed by NADIPPIN NAYAKAN - SURIYA, others who handled important roles also performed well."
97,Surya sir's acting was mind-blowing mohan babu sir and Paresh Rawal sir showed their class and rest of all characters did their job hats off Sudha kongara medam
98,It's a motivational film.A complete entertainer.must watch it.A complete movie from sudha kongara.Suriyas acting was very appreciative.Dont miss out this movie.must watch it.I have never watched a movie like this.Movie dialogue was very good.A perfectly casted movie.This movie is a motivation to all. Must watch it...
99,Best movie must watch.......really story of kannadiga must watch guys
100,I am an entrepreneur and i was eagerly waiting for this movie for more than a year. Really inspiring movie.
101,"Such an Power Worthy Spectacular Act by Actor Suriya.
The film is just an amazing Masterpiece with the Cast and the work of the crew. Music especially , gone into an Extreme International Level with an energizing Background Score .
10/10 ⭐"
102,"The film perfectly poured the true emotions , dreams , sacrifices , hardworks and much more reality of a normal person who have a huge dream to achieve . I wish the crew and cast for their success . I hope to see the airlines like Deccan Air to fly again not later.. but sooner :)
Best movie to watch 💯"
103,"An Inspirational movie! Every ambitious person can match their passion, prolonged struggles, determination, hard work and victory with this film! Epic in Soorya's movie list! Best acting ever!"
104,The best movie of Suriya. Its nothing more than amazing💯💯💯. Aparna had done a fantastic work. The movie is touching and inspirational. Suriya proves himself the best and he really deserves the national award for the movie and Aparna also deserves much more. All thr casts made the movie the best💖💖💖💖💖. Really enjoyed and worth watch. Its a MUST WATCH movie of SURIYA 😘😘😘😘😘!!!
